Arteria Ppal,Arteria menor,Autopista,Colectora,Servicio,timeStamp
0.709917520241592,1.0264925729701246,1.136681428303403,0.44901770398312557,0.39870332029432876,2019-01-01 00:00:00
0.9246838762046928,1.0866078828354107,1.2065563221930766,0.6707364708770912,0.48583830801211414,2019-01-01 01:00:00
0.8063005943495517,0.951535206538673,1.1682854121753414,0.5955901774494157,0.338993288870189,2019-01-01 02:00:00
0.6472672481065427,0.8018196958623534,1.107240753799263,0.42334892057185586,0.26418217391726967,2019-01-01 03:00:00
0.5840437221828588,1.0155851555626834,1.0877119700236115,0.38242767172974124,0.21419238016682704,2019-01-01 04:00:00
0.548119816673431,0.9626418462472507,1.0982531864957574,0.4159086935705278,0.19614051020138942,2019-01-01 05:00:00
0.4873166957191698,0.5467654277401026,0.24480795910637232,0.3522947520730333,0.21210947209389192,2019-01-01 06:00:00
0.4468959324890451,0.49441978521352636,0.21664560389962087,0.3396463659698894,0.1918011183827746,2019-01-01 07:00:00
0.4624756972256808,0.4538282544446481,0.22935013005816157,0.3258819459169894,0.17270779438086944,2019-01-01 08:00:00
0.5149857463420674,0.5095606751741202,0.26891902576737503,0.36419911531979954,0.20898510998448927,2019-01-01 09:00:00
0.6119675522979452,0.5775950688462242,0.33137966827026893,0.4226048979386851,0.26695938468118313,2019-01-01 10:00:00
0.7310642165798761,0.7261650516633064,0.4276862699078548,0.5290001450844279,0.30288954893931375,2019-01-01 11:00:00
0.9080977326665245,0.8253279198359604,0.47761938411761173,0.5438805991986876,0.42821118466090946,2019-01-01 12:00:00
1.026124322929923,0.9007335362445014,0.5850375296029227,0.6707364708770912,0.3908924150208221,2019-01-01 13:00:00
0.8855370099539791,1.0146886554939516,0.5947724219350135,0.6510198690892047,0.433939181861481,2019-01-01 14:00:00
1.0415002641553563,1.0111026552190248,0.6192571508979111,0.7667154001540127,0.5090974481598896,2019-01-01 15:00:00
1.1387241103674097,1.0743059097782257,0.6709405792791933,0.8400016368871578,0.507188115759699,2019-01-01 16:00:00
1.213769403380363,1.1766065283632698,0.7576892866624895,0.8786908176065534,0.5974474655868871,2019-01-01 17:00:00
1.2807254490297104,1.2100260584677418,1.1300538350165847,0.9088237372632614,0.5938023764592506,2019-01-01 18:00:00
1.3223818922879018,1.2422502554527124,1.220539167542807,0.9013835102619332,0.5887686819496575,2019-01-01 19:00:00
1.3441145815132522,1.1786983618951612,1.0740437878997058,0.855998125062777,0.5110067805600801,2019-01-01 20:00:00
1.092621764612813,1.0246995728326613,0.9832437921476588,0.741046616742743,0.4738615865927373,2019-01-01 21:00:00
0.9104417035268867,0.8786696736391129,0.823355560393502,0.6227470062386304,0.33881971319744436,2019-01-01 22:00:00
0.7106691199636787,0.6358675729701246,0.6777058377494345,0.4646421808421593,0.2631407198808021,2019-01-01 23:00:00
0.5307693346586961,0.49760734088618036,0.6122755615262895,0.25557180005133756,0.1855523941639693,2019-01-02 00:00:00
0.469265570169706,0.3877362776072214,0.567377058221736,0.13057598517906768,0.13851338685018474,2019-01-02 01:00:00
0.39000367643720457,0.3317050235978739,0.5793145927806038,0.1395042576699441,0.11577497372064315,2019-01-02 02:00:00
0.2656330772723208,0.32692368985978737,0.5521748928276854,0.14322437117060813,0.09807025510069471,2019-01-02 03:00:00
0.4010228886488866,0.4199106687591642,0.6405559154515751,0.26784817472629263,0.11629570073887692,2019-01-02 04:00:00
0.8519188589038927,0.7408078860428886,0.9975019675102393,0.5546689284956977,0.23502146089617812,2019-01-02 05:00:00
1.419860518404887,1.307196704316349,1.028928953339776,0.8719946132383961,0.5667245715110942,2019-01-02 06:00:00
1.498880371330889,1.4789262715359237,1.0155164349762291,0.8745986927893039,0.5823463820581075,2019-01-02 07:00:00
1.5366132112073412,1.3972451544171554,0.977579854790806,0.8734826587279444,0.5950174061684628,2019-01-02 08:00:00
1.6568054268791832,1.6183320312499998,1.0427151343946135,1.0557682220461369,0.6976006287605169,2019-01-02 09:00:00
1.6780922521307844,1.60329075329912,1.0310922627075745,0.9917822692320569,0.7774454382230294,2019-01-02 10:00:00
1.7514560009355502,1.7344785958119502,1.0629322440873805,1.1461669810162607,0.935572876093353,2019-01-02 11:00:00
1.8072781831064393,1.855506104517962,1.0430887967319082,1.1517471513230584,0.953104019040557,2019-01-02 12:00:00
1.8839158486334775,1.841012686721041,1.1293458428469783,1.1045017094293719,0.9310599086019937,2019-01-02 13:00:00
1.9415597039258712,1.954469750045821,1.1561315463610973,1.260002455274935,0.9741066754426526,2019-01-02 14:00:00
1.951234834111812,2.0125430317540323,1.1430533578298625,1.255910330011272,1.0702675981431569,2019-01-02 15:00:00
2.0320701112341695,2.1891535442631964,1.1988470740453612,1.4181072810062163,1.0662753576700312,2019-01-02 16:00:00
1.950715660835529,2.0294271169354836,1.1158743250179652,1.1848561621820697,0.9780989159157782,2019-01-02 17:00:00
1.7232398957136665,1.789812572168255,1.1023831409364613,1.0952014255103066,0.8762099960147025,2019-01-02 18:00:00
1.7067042271736066,1.792253043667522,1.175797995674168,0.9955023827327211,0.8925261092526942,2019-01-02 19:00:00
1.586204112981447,1.5695723893420088,1.103838458134653,0.9296563731125074,0.8437513452114637,2019-01-02 20:00:00
1.4069206054936059,1.3983408770161292,1.0459010991578432,0.8935712718324162,0.7267613417816084,2019-01-02 21:00:00
1.1259050973728923,1.137260136432368,0.8745866603655365,0.6982653110944945,0.4912191538671965,2019-01-02 22:00:00
0.8036153148195282,0.8354384482679618,0.7783980576234827,0.5089115319799561,0.3452420130889943,2019-01-02 23:00:00
